Iteration,Standard Deviation
1,3.0276503540974917
2,2.9674371061971714
3,2.906715710762874
4,2.8476677904524106
5,2.7912106302030386
6,2.7376691695505038
7,2.687083272248049
8,2.6393563856555513
9,2.594330221449282
10,2.5518230680297287
11,2.5116495068016045
12,2.473630347326054
13,2.437597324945081
14,2.403394974565832
15,2.370880992474505
16,2.339925810596696
17,2.310411786631037
18,2.28223223466109
19,2.2552904197896506
20,2.2294985827026776
21,2.2047770270954405
22,2.1810532841111425
23,2.158261357403145
24,2.1363410467044033
25,2.115237344868296
26,2.0948999020529273
27,2.075282550356457
28,2.05634288235817
29,2.0380418774325166
30,2.020343570236361
31,2.0032147563396716
32,1.9866247305301263
33,1.9705450538479816
34,1.9549493458877414
35,1.9398130993337697
36,1.9251135140787075
37,1.9108293486091907
38,1.896940786636963
39,1.8834293172093644
40,1.870277626755717
41,1.857469501719423
42,1.8449897405933857
43,1.832824074321995
44,1.8209590941594007
45,1.8093821861836887
46,1.7980814717621234
47,1.7870457533458557
48,1.7762644650449853
49,1.7657276274981943
50,1.7554258066064765
51,1.7453500757489124
52,1.7354919811408942
53,1.7258435100324458
54,1.7163970614770714
55,1.7071454194303781
56,1.6980817279631897
57,1.6891994683963114
58,1.6804924381839947
59,1.671954731390746
60,1.6635807206217486
61,1.6553650402810478
62,1.6473025710439808
63,1.6393884254413553
64,1.631617934462677
65,1.6239866350945145
66,1.6164902587179208
67,1.609124720295874
68,1.6018861082879967
69,1.5947706752354807
70,1.5877748289642397
71,1.5808951243588951
72,1.5741282556643386
73,1.5674710492753439
74,1.5609204569780761
75,1.5544735496103954
76,1.548127511110615
77,1.5418796329268794
78,1.535727308761606
79,1.5296680296274912
80,1.5236993791934708
81,1.5178190294007246
82,1.5120247363303903
83,1.5063143363060552
84,1.5006857422154063
85,1.4951369400366072
86,1.4896659855560426
87,1.4842710012650864
88,1.478950173424439
89,1.473701749285435
90,1.4685240344584747
91,1.4634153904194493
92,1.458374232145671
93,1.4533990258734157
94,1.4484882869697486
95,1.4436405779117858
96,1.4388545063670386
97,1.4341287233689004
98,1.4294619215817408
99,1.4248528336504425
100,1.4203002306295558
101,1.4158029204875593
102,1.4113597466820074
103,1.4069695868016239
104,1.402631351271644
105,1.398343982118942
106,1.394106451793705
107,1.3899177620446042
108,1.3857769428446194
109,1.3816830513648233
110,1.3776351709936179
111,1.3736324103990543
112,1.3696739026320075
113,1.365758804268118
114,1.361886294586527
115,1.3580555747835517
116,1.3542658672195482
